Provider ID,name,type,specialty,street,city,state,zip,Phone Number
1,MARSHALL MEDICAL CENTER SOUTH,Private,Comprehensive,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,2565938310
2,DEKALB REGIONAL MEDICAL CENTER,Public,Dental,200 MED CENTER DRIVE,FORT PAYNE,AL,35968,2568453150
3,WEDOWEE HOSPITAL,Private,Opthalmology,209 NORTH MAIN STREET,WEDOWEE,AL,36278,2563572111
4,HALE COUNTY HOSPITAL,Public,Othopedics,508 GREEN STREET,GREENSBORO,AL,36744,3346243024
5,CRESTWOOD MEDICAL CENTER,Private,Cardiology,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,2568823100
6,CHOCTAW GENERAL HOSPITAL,Public,Pharmacy,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904,2054599100
7,YUKON KUSKOKWIM DELTA REG HOSPITAL,Private,Vaccine,PO BOX 287,BETHEL,AK,99559,9075436300
8,NORTON SOUND REGIONAL HOSPITAL,Public,Massage,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762,9074433311
9,KANAKANAK HOSPITAL,Private,Comprehensive,P O BOX 130,DILLINGHAM,AK,99576,9078425201
10,MANIILAQ HEALTH CENTER,Public,Dental,PO BOX 43,KOTZEBUE,AK,99752,9074423321
11,FORT DEFIANCE INDIAN HOSPITAL,Private,Opthalmology,PO BOX 649,FORT DEFIANCE,AZ,86504,9287298000
12,TUBA CITY REGIONAL HEALTH CARE CORPORATION,Public,Othopedics,PO BOX 600,TUBA CITY,AZ,86045,9282832501
13,SELLS HOSPITAL,Private,Cardiology,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ,85634,5203627003
14,SAN CARLOS APACHE HEALTHCARE,Public,Pharmacy,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,9284751200
15,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,Private,Vaccine,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,9286747001
16,HOPI HEALTH CARE CENTER,Public,Massage,"HIGHWAY 264, MILEPOST 388",POLACCA,AZ,86042,9287376000
17,HUHU KAM MEMORIAL HOSPITAL,Private,Comprehensive,483 WEST SEED FARM ROAD,SACATON,AZ,85147,5205623321
18,SAGE MEMORIAL HOSPITAL,Public,Dental,STATE ROUTE 264 SOUTH 191,GANADO,AZ,86505,9287554541
19,CHI-ST VINCENT INFIRMARY,Private,Opthalmology,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,5015523000
20,SPARKS MEDICAL CENTER - VAN BUREN,Public,Othopedics,EAST MAIN AND SOUTH 20TH STREET,VAN BUREN,AR,72956,4794743401
21,OUACHITA COUNTY MEDICAL CENTER,Private,Cardiology,638 CALIFORNIA AVENUE,CAMDEN,AR,71701,8708361000
22,BAPTIST HEALTH MEDICAL CENTER-CONWAY,Public,Pharmacy,1555 EXCHANGE AVENUE,CONWAY,AR,72032,5015852000
23,CHI ST VINCENT MORRILTON,Private,Vaccine,#4 HOSPITAL DRIVE,MORRILTON,AR,72110,5019772300
24,CHICOT MEMORIAL MEDICAL CENTER,Public,Massage,2729 SOUTH HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,8702655351
25,SAN GORGONIO MEMORIAL HOSPITAL,Private,Comprehensive,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,9518451121
26,WHITE MEMORIAL MEDICAL CENTER,Public,Dental,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,3232685000
