id,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating
1,ESSENTIA HEALTH FOSSTON,900 HILLIGOSS BOULEVARD SE,FOSSTON,MN,56542,POLK,2184351133,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
2,MINISTRY EAGLE RIVER MEMORIAL HOSPITAL,201 HOSPITAL ROAD,EAGLE RIVER,WI,54521,VILAS,7154797411,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
3,WISHEK COMMUNITY HOSPITAL,1007 4TH AVE S,WISHEK,ND,58495,MCINTOSH,7014522326,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
4,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,12401 WASHINGTON BLVD,WHITTIER,CA,90602,LOS ANGELES,5266980811,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
5,UNITED HOSPITAL,333 NORTH SMITH AVENUE,SAINT PAUL,MN,55102,RAMSEY,6512418802,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
6,ST CHRISTOPHER'S HOSPITAL FOR CHILDREN,160 EAST ERIE AVE,PHILADELPHIA,PA,19134,PHILADELPHIA,2154275000,Childrens,Proprietary,TRUE,TRUE,Not Available
7,SOUTH TEXAS REGIONAL MEDICAL CENTER,1905 HWY 97 EAST,JOURDANTON,TX,78026,ATASCOSA,8307693515,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
8,MADISON COUNTY MEMORIAL HOSPITAL,300 WEST HUTCHINGS STREET,WINTERSET,IA,50273,MADISON,5154622373,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available
9,EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER,217 SOUTH THIRD STREET,DANVILLE,KY,40422,BOYLE,8592392409,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2
10,VALLEY REGIONAL MEDICAL CENTER,100 A ALTON GLOOR,BROWNSVILLE,TX,78526,CAMERON,9563507000,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
11,KAISER FOUNDATION HOSPITAL - VACAVILLE,1 QUALITY DRIVE,VACAVILLE,CA,95688,SOLANO,7076244000,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
12,FIRST CARE HEALTH CENTER,115 VIVIAN ST,PARK RIVER,ND,58270,WALSH,7012847500,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
13,UNITY MEDICAL AND SURGICAL HOSPITAL,4455 EDISON LAKES PKWY,MISHAWAKA,IN,46545,ST JOSEPH,5742316800,Acute Care Hospitals,Proprietary,FALSE,TRUE,Not Available
14,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE,RI,2903,PROVIDENCE,4014444000,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
15,CAMBRIDGE HEALTH ALLIANCE,1493 CAMBRIDGE STREET,CAMBRIDGE,MA,2138,MIDDLESEX,6176652300,Acute Care Hospitals,Government - Local,TRUE,TRUE,3
16,GHS HILLCREST MEMORIAL HOSPITAL,729 SOUTH EAST MAIN STREET,SIMPSONVILLE,SC,29681,GREENVILLE,8644546100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4
17,TILLAMOOK REGIONAL MEDICAL CENTER,1000 THIRD STREET,TILLAMOOK,OR,97141,TILLAMOOK,5038424444,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3
18,VENICE REGIONAL MEDICAL CENTER - BAYFRONT HEALTH,540 THE RIALTO,VENICE,FL,34285,SARASOTA,9414857711,Acute Care Hospitals,Proprietary,TRUE,TRUE,3
19,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,SUMTER,2053925263,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available
20,ASPIRUS LANGLADE HOSPITAL,112 E FIFTH AVE,ANTIGO,WI,54409,LANGLADE,7156232331,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4
21,MID COAST HOSPITAL,123 MEDICAL CENTER DRIVE,BRUNSWICK,ME,4011,CUMBERLAND,2077290181,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3
22,MARGARETVILLE MEMORIAL HOSPITAL,42084 STATE HIGHWAY 28,MARGARETVILLE,NY,12455,DELAWARE,8455862631,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available
